ChallengeLevel	Scalar
1	1
2	1
3	1.1
4	1.21
5	1.331
6	1.4641
7	1.61051
8	1.771561
9	1.9487171
10	2.14358881
11	2.357947691
12	2.59374246
13	2.853116706
14	3.138428377
15	3.452271214
16	3.797498336
17	4.177248169
18	4.594972986
19	5.054470285
20	5.559917313
21	6.115909045
22	6.727499949
23	7.400249944
24	8.140274939
25	8.954302433
26	9.849732676
27	10.83470594
28	11.91817654
29	13.10999419
30	14.42099361
31	15.86309297
32	17.44940227
33	19.1943425
34	21.11377675
35	23.22515442
36	25.54766986
37	28.10243685
38	30.91268053
39	34.00394859
40	37.40434344
41	41.14477779
42	45.25925557
43	49.78518112
44	54.76369924
45	60.24006916
46	66.26407608
47	72.89048369
48	80.17953205
49	88.19748526
50	97.01723378
