Level	Health
1	9
2	9
3	9
4	9
5	9
6	9
7	9
8	9
9	9
10	9
11	9
12	9
13	9
14	9
15	9
16	10
17	10
18	10
19	10
20	10
21	10
22	10
23	10
24	10
25	10
26	10
27	10
28	10
29	10
30	10
31	10
32	10
33	11
34	11
35	11
36	11
37	11
38	11
39	11
40	11
41	11
42	11
43	12
44	12
45	12
46	12
47	12
48	12
49	12
50	13
51	13
52	13
53	13
54	13
55	13
56	13
57	14
58	14
59	14
60	14
61	14
62	14
63	14
64	14
65	14
66	14
67	14
68	14
69	14
70	14
71	15
72	15
73	15
74	15
75	15
76	15
77	15
78	15
79	15
80	15
81	16
82	16
83	16
84	16
85	17
86	17
87	17
88	17
89	17
90	18
91	18
92	18
93	18
94	19
95	19
96	19
97	19
98	19
99	20
100	20
101	20
102	20
103	20
104	20
105	20
106	20
107	20
108	20
109	20
110	20
111	20
112	20
113	20
114	20
115	20
116	20
117	20
118	20
119	20
120	20
121	20
122	20
123	20
