Item Level	Item Level
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	57
59	58
60	58
61	58
62	58
63	58
64	58
65	58
66	58
67	58
68	58
69	58
70	58
71	58
72	58
73	58
74	58
75	58
76	58
77	58
78	58
79	58
80	58
81	59
82	59
83	59
84	60
85	60
86	61
87	61
88	62
89	63
90	63
91	64
92	65
93	65
94	66
95	67
96	67
97	68
98	69
99	69
100	70
101	71
102	71
103	72
104	73
105	73
106	74
107	75
108	75
109	76
110	77
111	77
112	78
113	79
114	79
115	80
116	80
117	80
118	80
119	80
120	80
121	80
122	80
123	80
124	80
125	80
126	80
127	80
128	80
129	80
130	80
131	80
132	80
133	80
134	80
135	80
136	80
137	81
138	81
139	82
140	82
141	83
142	83
143	84
144	84
145	85
146	85
147	86
148	86
149	87
150	87
151	88
152	88
153	89
154	89
155	90
156	90
157	91
158	91
159	92
160	92
161	93
162	93
163	94
164	94
165	94
166	94
167	95
168	95
169	96
170	97
171	97
172	98
173	99
174	99
175	100
176	100
177	100
178	100
179	100
180	100
181	100
182	100
183	100
184	100
185	100
186	100
187	100
188	100
189	100
190	100
191	100
192	100
193	100
194	100
195	100
196	100
197	100
198	100
199	100
200	100
201	100
202	100
203	100
204	100
205	100
206	100
207	100
208	100
209	100
210	100
211	100
212	100
213	100
214	100
215	100
216	100
217	100
218	100
219	100
220	100
221	100
222	100
223	100
224	100
225	100
226	100
227	100
228	100
229	100
230	100
231	100
232	100
233	100
234	100
235	100
236	100
237	100
238	100
239	100
240	100
241	100
242	100
243	100
244	100
245	100
246	100
247	100
248	100
249	100
250	100
251	100
252	100
253	100
254	100
255	100
256	100
257	100
258	100
259	100
260	100
261	100
262	100
263	100
264	100
265	100
266	100
267	100
268	100
269	100
270	100
271	101
272	101
273	102
274	102
275	102
276	102
277	102
278	102
279	102
280	102
281	102
282	102
283	102
284	102
285	102
286	102
287	102
288	103
289	103
290	104
291	104
292	104
293	104
294	104
295	104
296	104
297	104
298	104
299	104
300	104
301	104
302	104
303	104
304	104
305	104
306	104
307	104
308	104
309	104
310	104
311	105
312	105
313	106
314	106
315	106
316	106
317	107
318	107
319	108
320	108
321	108
322	108
323	108
324	108
325	108
326	108
327	108
328	108
329	108
330	108
331	108
332	108
333	108
334	108
335	108
336	108
337	108
338	108
339	108
340	108
341	108
342	108
343	108
344	108
345	108
346	108
347	108
348	108
349	108
350	108
351	108
352	108
353	108
354	108
355	108
356	108
357	108
358	108
359	108
360	108
361	108
362	108
363	108
364	108
365	108
366	108
367	108
368	108
369	108
370	108
371	108
372	108
373	108
374	108
375	108
376	108
377	108
378	108
379	108
380	108
381	108
382	108
383	109
384	109
385	110
386	110
387	110
388	110
389	110
390	110
391	110
392	110
393	110
394	110
395	110
396	110
397	110
398	111
399	111
400	112
401	112
402	112
403	112
404	112
405	112
406	112
407	112
408	112
409	112
410	112
411	112
412	112
413	113
414	113
415	114
416	114
417	114
418	114
419	114
420	114
421	114
422	114
423	114
424	114
425	114
426	114
427	114
428	115
429	115
430	116
431	116
432	116
433	116
434	116
435	116
436	116
437	116
438	116
439	116
440	116
441	116
442	116
443	116
444	116
445	116
446	116
447	116
448	116
449	116
450	116
451	116
452	116
453	116
454	116
455	116
456	116
457	116
458	116
459	116
460	116
461	116
462	116
463	116
464	116
465	116
466	116
467	116
468	116
469	116
470	116
471	116
472	116
473	116
474	116
475	116
476	116
477	116
478	116
479	116
480	116
481	116
482	116
483	116
484	116
485	116
486	116
487	116
488	116
489	116
490	116
491	116
492	116
493	116
494	116
495	116
496	116
497	116
498	116
499	117
500	117
501	118
502	118
503	118
504	118
505	118
506	119
507	119
508	120
509	120
510	120
511	120
512	120
513	120
514	120
515	120
516	120
517	121
518	121
519	122
520	122
521	122
522	122
523	122
524	122
525	122
526	122
527	123
528	123
529	124
530	124
531	124
532	124
533	125
534	125
535	126
536	126
537	126
538	126
539	126
540	126
541	126
542	126
543	126
544	127
545	127
546	128
547	128
548	128
549	128
550	128
551	128
552	129
553	129
554	130
555	130
556	130
557	130
558	130
559	130
560	130
561	130
562	130
563	130
