Level	Player-to-player Healing	NPC-to-player damage	Player-to-NPC damage
1	4.86	1	1
2	5.94	1	1
3	7.128	1	1
4	7.8507	1	1
5	8.5932	1	1
6	9.3555	1	1
7	10.1376	1	1
8	10.9395	1	1
9	12.38730736	1	1
10	14.01513074	1	1
11	16.52846256	1	1
12	19.40473767	1	1
13	22.67038916	1	1
14	26.35686732	1	1
15	30.50162486	1	1
16	33.69354802	1	1
17	35.65964041	1	1
18	37.65806822	1	1
19	39.68927144	1	1
20	41.7536801	1	1
21	44.50128321	1	1
22	47.37671341	1	1
23	50.38657187	1	1
24	53.53782783	1	1
25	56.83783686	1	1
26	59.76934127	1	1
27	62.79575523	1	1
28	65.92058112	1	1
29	69.14744352	1	1
30	72.48009374	1	1
31	76.52939492	1	1
32	80.76792727	1	1
33	85.20540614	1	1
34	89.85205586	1	1
35	94.71863501	1	1
36	98.54338042	1	1
37	102.4674897	1	1
38	106.4936513	1	1
39	110.62462	1	1
40	114.8632193	1	1
41	118.5574352	1	1
42	122.3037889	1	1
43	126.1026678	1	1
44	129.9544622	1	1
45	133.859565	1	1
46	137.4347787	1	1
47	141.1024347	1	1
48	144.8648623	1	1
49	148.7244483	1	1
50	160.31782	1	1
51	164.5821847	1	1
52	168.9564607	1	1
53	173.4434104	1	1
54	178.0458643	1	1
55	182.7667224	1	1
56	187.6089562	1	1
57	192.5756101	1	1
58	197.6698034	1	1
59	202.894732	1	1
60	208.2536704	1	1
61	213.128605	1	1
62	218.1131323	1	1
63	223.2095933	1	1
64	228.4203772	1	1
65	233.7479218	1	1
66	239.1947151	1	1
67	244.7632961	1	1
68	250.4562558	1	1
69	256.2762386	1	1
70	262.2259428	1	1
71	268.3081222	1	1
72	274.5255871	1	1
73	280.8812057	1	1
74	287.3779047	1	1
75	294.0186712	1	1
76	300.8065535	1	1
77	307.7446625	1	1
78	314.8361731	1	1
79	325.5179254	1	1
80	336.4974169	1	1
81	347.7820328	1	1
82	359.3793277	1	1
83	371.2970292	1	1
84	383.5430416	1	1
85	396.1254499	1	1
86	409.0525238	1	1
87	422.332722	1	1
88	435.9746959	1	1
89	449.9872945	1	1
90	464.3795683	1	1
91	479.1607739	1	1
92	494.3403785	1	1
93	509.928065	1	1
94	525.9337361	1	1
95	542.3675197	1	1
96	559.2397734	1	1
97	576.5610902	1	1
98	594.3423032	1	1
99	612.5944912	1	1
100	631.3289839	1	1
101	641.390612	1	1
102	654.2067184	1	1
103	667.2691748	1	1
104	680.5825714	1	1
105	694.1515842	1	1
106	707.9809767	1	1
107	722.0756015	1	1
108	736.4404025	1	1
109	751.0804157	1	1
110	766.0854217	1	1
111	1515.492151	1	1
112	1715.46369	1	1
113	1901.243228	1	1
114	2064.284842	1	1
115	2197.047208	1	1
116	2343.971409	1	1
117	2459.876846	1	1
118	2589.52105	1	1
119	2762.978531	1	1
120	3515.485624	1	1
121	3515.485624	1	1
122	3515.485624	1	1
123	3515.485624	1	1
