Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Item	Consumable	Gem1	Gem2	Gem3	Health	DamageReplaceStat	DamageSecondary
1	0	0	0	0	0	0	0	0	0	0	0	0	1.8	208.1915564	1.27680467	1.587378779	1.932461123	148.7082546	0.10125	0.10125
2	0	0	0	0	0	0	0	0	0	0	0	0	2.1	208.1915564	1.27680467	1.587378779	1.932461123	163.57908	0.13125	0.13125
3	0	0	0	0	0	0	0	0	0	0	0	0	2.4	208.1915564	1.27680467	1.587378779	1.932461123	178.4499055	0.165	0.165
4	0	0	0	0	0	0	0	0	0	0	0	0	2.7	208.1915564	1.27680467	1.587378779	1.932461123	193.3207309	0.18871875	0.18871875
5	0	0	0	0	0	0	0	0	0	0	0	0	3	208.1915564	1.27680467	1.587378779	1.932461123	208.1915564	0.213125	0.213125
6	0	0	0	0	0	0	0	0	0	0	0	0	3	340.0431163	1.27680467	1.587378779	1.932461123	223.0623819	0.2165625	0.2165625
7	0	0	0	0	0	0	0	0	0	0	0	0	4	340.0431163	1.27680467	1.587378779	1.932461123	237.9332073	0.293333333	0.293333333
8	0	0	0	0	0	0	0	0	0	0	0	0	4	340.0431163	1.27680467	1.587378779	1.932461123	252.8040328	0.297916667	0.297916667
9	0	0	0	0	0	0	0	0	0	0	0	0	5	340.0431163	1.27680467	1.587378779	1.932461123	293.5487029	0.378125	0.378125
10	0	0	0	0	0	0	0	0	0	0	0	0	5	340.0431163	1.27680467	1.587378779	1.932461123	340.0431163	0.383854167	0.383854167
11	0	0	0	0	0	0	0	0	0	0	0	0	6	658.7613323	1.27680467	1.587378779	1.932461123	392.287273	0.483083333	0.483083333
12	0	0	0	0	0	0	0	0	0	0	0	0	6	658.7613323	1.27680467	1.587378779	1.932461123	450.2811729	0.506	0.506
13	0	0	0	0	0	0	0	0	0	0	0	0	7	658.7613323	1.27680467	1.587378779	1.932461123	514.0248161	0.617604167	0.617604167
14	0	0	0	0	0	0	0	0	0	0	0	0	7	658.7613323	1.27680467	1.587378779	1.932461123	583.5182026	0.645409722	0.645409722
15	0	0	0	0	0	0	0	0	0	0	0	0	8	658.7613323	1.27680467	1.587378779	1.932461123	658.7613323	0.77	0.77
16	0	0	0	0	0	0	0	0	0	0	0	0	8	990.2593326	1.27680467	1.587378779	1.932461123	821.949117	0.7944	0.7944
17	0	0	0	0	0	0	0	0	0	0	0	0	9	990.2593326	1.27680467	1.587378779	1.932461123	864.0266709	0.9213	0.9213
18	0	0	0	0	0	0	0	0	0	0	0	0	9	990.2593326	1.27680467	1.587378779	1.932461123	906.1042248	0.94905	0.94905
19	0	0	0	0	0	0	0	0	0	0	0	0	10	990.2593326	1.27680467	1.587378779	1.932461123	948.1817787	1.0855	1.0855
20	0	0	0	0	0	0	0	0	0	0	0	0	10	990.2593326	1.27680467	1.587378779	1.932461123	990.2593326	1.116666667	1.116666667
21	0	0	0	0	0	0	0	0	0	0	0	0	11	1332.177177	2.157359615	2.682122765	3.265192931	1054.433939	1.2628	1.2628
22	0	0	0	0	0	0	0	0	0	0	0	0	11	1332.177177	2.157359615	2.682122765	3.265192931	1120.713027	1.29745	1.29745
23	0	0	0	0	0	0	0	0	0	0	0	0	12	1332.177177	2.157359615	2.682122765	3.265192931	1189.096595	1.4534	1.4534
24	0	0	0	0	0	0	0	0	0	0	0	0	12	1332.177177	2.157359615	2.682122765	3.265192931	1259.584646	1.4916	1.4916
25	0	0	0	0	0	0	0	0	0	0	0	0	13	1332.177177	2.157359615	2.682122765	3.265192931	1332.177177	1.6575	1.6575
26	0	0	0	0	0	0	0	0	0	0	0	0	13	1636.515	2.157359615	2.682122765	3.265192931	1391.2409	1.699316667	1.699316667
27	0	0	0	0	0	0	0	0	0	0	0	0	14	1636.515	2.157359615	2.682122765	3.265192931	1451.206544	1.8753	1.8753
28	0	0	0	0	0	0	0	0	0	0	0	0	14	1636.515	2.157359615	2.682122765	3.265192931	1512.074109	1.9208	1.9208
29	0	0	0	0	0	0	0	0	0	0	0	0	15	1636.515	2.157359615	2.682122765	3.265192931	1573.843594	2.107	2.107
30	0	0	0	0	0	0	0	0	0	0	0	0	15	1636.515	2.157359615	2.682122765	3.265192931	1636.515	2.15625	2.15625
31	0	0	0	0	0	0	0	0	0	0	0	0	16	2270.664615	2.157359615	2.682122765	3.265192931	1717.951362	2.350533333	2.350533333
32	0	0	0	0	0	0	0	0	0	0	0	0	16	2270.664615	2.157359615	2.682122765	3.265192931	1801.4421	2.401244444	2.401244444
33	0	0	0	0	0	0	0	0	0	0	0	0	17	2270.664615	2.157359615	2.682122765	3.265192931	2075.685933	2.605391667	2.605391667
34	0	0	0	0	0	0	0	0	0	0	0	0	17	2270.664615	2.157359615	2.682122765	3.265192931	2172.045368	2.65965	2.65965
35	0	0	0	0	0	0	0	0	0	0	0	0	18	2270.664615	2.157359615	2.682122765	3.265192931	2270.664615	2.87375	2.87375
36	0	0	0	0	0	0	0	0	0	0	0	0	18	2621.282462	2.157359615	2.682122765	3.265192931	2339.796072	2.9316	2.9316
37	0	0	0	0	0	0	0	0	0	0	0	0	19	2621.282462	2.157359615	2.682122765	3.265192931	2409.423585	3.155741667	3.155741667
38	0	0	0	0	0	0	0	0	0	0	0	0	19	2621.282462	2.157359615	2.682122765	3.265192931	2479.547155	3.217227778	3.217227778
39	0	0	0	0	0	0	0	0	0	0	0	0	20	2621.282462	2.157359615	2.682122765	3.265192931	2550.16678	3.4515	3.4515
40	0	0	0	0	0	0	0	0	0	0	0	0	20	2621.282462	2.157359615	2.682122765	3.265192931	2621.282462	3.516666667	3.516666667
41	0	0	0	0	0	0	0	0	0	0	0	0	21	3194.722238	3.029213017	3.766048616	4.584754837	2682.725047	3.6995	3.6995
42	0	0	0	0	0	0	0	0	0	0	0	0	21	3194.722238	3.029213017	3.766048616	4.584754837	2744.167632	3.7065	3.7065
43	0	0	0	0	0	0	0	0	0	0	0	0	22	3194.722238	3.029213017	3.766048616	4.584754837	3060.66569	3.890333333	3.890333333
44	0	0	0	0	0	0	0	0	0	0	0	0	22	3194.722238	3.029213017	3.766048616	4.584754837	3127.693964	3.897666667	3.897666667
45	0	0	0	0	0	0	0	0	0	0	0	0	23	3194.722238	3.029213017	3.766048616	4.584754837	3194.722238	4.0825	4.0825
46	0	0	0	0	0	0	0	0	0	0	0	0	23	3798.922537	3.029213017	3.766048616	4.584754837	3254.813812	4.090166667	4.090166667
47	0	0	0	0	0	0	0	0	0	0	0	0	24	3798.922537	3.029213017	3.766048616	4.584754837	3316.035686	4.276	4.276
48	0	0	0	0	0	0	0	0	0	0	0	0	24	3798.922537	3.029213017	3.766048616	4.584754837	3378.409122	4.284	4.284
49	0	0	0	0	0	0	0	0	0	0	0	0	25	3798.922537	3.029213017	3.766048616	4.584754837	3441.955779	4.470833333	4.470833333
50	0	0	0	0	0	0	0	0	0	0	0	0	25	3798.922537	3.029213017	3.766048616	4.584754837	3798.922537	4.479166667	4.479166667
51	0	0	0	0	0	0	0	0	0	0	0	0	26	4169.900238	3.029213017	3.766048616	4.584754837	3870.3789	4.667	4.667
52	0	0	0	0	0	0	0	0	0	0	0	0	26	4169.900238	3.029213017	3.766048616	4.584754837	3943.179332	4.675666667	4.675666667
53	0	0	0	0	0	0	0	0	0	0	0	0	27	4169.900238	3.029213017	3.766048616	4.584754837	4017.349113	4.8645	4.8645
54	0	0	0	0	0	0	0	0	0	0	0	0	27	4169.900238	3.029213017	3.766048616	4.584754837	4092.914002	4.8735	4.8735
55	0	0	0	0	0	0	0	0	0	0	0	0	28	4169.900238	3.029213017	3.766048616	4.584754837	4169.900238	5.063333333	5.063333333
56	0	0	0	0	0	0	0	0	0	0	0	0	28	4929.190187	3.029213017	3.766048616	4.584754837	4248.334559	5.072666667	5.072666667
57	0	0	0	0	0	0	0	0	0	0	0	0	29	4929.190187	3.029213017	3.766048616	4.584754837	4661.186061	5.2635	5.2635
58	0	0	0	0	0	0	0	0	0	0	0	0	29	4929.190187	3.029213017	3.766048616	4.584754837	4748.861291	5.273166667	5.273166667
59	0	0	0	0	0	0	0	0	0	0	0	0	30	4929.190187	4.135645234	5.141612993	6.259354948	4838.185659	5.465	5.465
60	0	0	0	0	0	0	0	0	0	0	0	0	30	4929.190187	4.135645234	5.141612993	6.259354948	4929.190187	5.475	5.475
61	0	0	0	0	0	0	0	0	0	0	0	0	31	5410.542367	4.135645234	5.141612993	6.259354948	5021.906477	5.674722222	5.674722222
62	0	0	0	0	0	0	0	0	0	0	0	0	31	5410.542367	4.135645234	5.141612993	6.259354948	5116.366727	5.691944444	5.691944444
63	0	0	0	0	0	0	0	0	0	0	0	0	32	5410.542367	4.135645234	5.141612993	6.259354948	5212.603741	5.893333333	5.893333333
64	0	0	0	0	0	0	0	0	0	0	0	0	33	5410.542367	4.135645234	5.141612993	6.259354948	5310.650938	6.095833333	6.095833333
65	0	0	0	0	0	0	0	0	0	0	0	0	33	5410.542367	4.135645234	5.141612993	6.259354948	5410.542367	6.114166667	6.114166667
66	0	0	0	0	0	0	0	0	0	0	0	0	34	5938.900224	4.135645234	5.141612993	6.259354948	5512.312718	6.318333333	6.318333333
67	0	0	0	0	0	0	0	0	0	0	0	0	34	5938.900224	4.135645234	5.141612993	6.259354948	5615.997333	6.337222222	6.337222222
68	0	0	0	0	0	0	0	0	0	0	0	0	35	5938.900224	4.135645234	5.141612993	6.259354948	5721.632218	6.543055556	6.543055556
69	0	0	0	0	0	0	0	0	0	0	0	0	36	5938.900224	4.135645234	5.141612993	6.259354948	5829.254057	6.75	6.75
70	0	0	0	0	0	0	0	0	0	0	0	0	36	5938.900224	4.135645234	5.141612993	6.259354948	5938.900224	6.77	6.77
71	0	0	0	0	0	0	0	0	0	0	0	0	37	6984.486453	4.135645234	5.141612993	6.259354948	6482.795139	6.978611111	6.978611111
72	0	0	0	0	0	0	0	0	0	0	0	0	38	6984.486453	4.135645234	5.141612993	6.259354948	6604.734178	7.188333333	7.188333333
73	0	0	0	0	0	0	0	0	0	0	0	0	39	6984.486453	4.135645234	5.141612993	6.259354948	6728.966847	7.399166667	7.399166667
74	0	0	0	0	0	0	0	0	0	0	0	0	39	6984.486453	4.135645234	5.141612993	6.259354948	6855.536287	7.420833333	7.420833333
75	0	0	0	0	0	0	0	0	0	0	0	0	40	6984.486453	4.135645234	5.141612993	6.259354948	6984.486453	7.633333333	7.633333333
