Item Level	Armor Multiplier	Weapon Multiplier	Trinket Multiplier	Jewelry Multiplier
1	1	1	1	1
2	1	1	1	1
3	1	1	1	1
4	1	1	1	1
5	1	1	1	1
6	1	1	1	1
7	1	1	1	1
8	1	1	1	1
9	1	1	1	1
10	1	1	1	1
11	1	1	1	1
12	1	1	1	1
13	1	1	1	1
14	1	1	1	1
15	1	1	1	1
16	1	1	1	1
17	1	1	1	1
18	1	1	1	1
19	1	1	1	1
20	1	1	1	1
21	1	1	1	1
22	1	1	1	1
23	1	1	1	1
24	1	1	1	1
25	1	1	1	1
26	1	1	1	1
27	1	1	1	1
28	1	1	1	1
29	1	1	1	1
30	1	1	1	1
31	1	1	1	1
32	1	1	1	1
33	1	1	1	1
34	1	1	1	1
35	1	1	1	1
36	1	1	1	1
37	1	1	1	1
38	1	1	1	1
39	1	1	1	1
40	1	1	1	1
41	1	1	1	1
42	1	1	1	1
43	1	1	1	1
44	1	1	1	1
45	1	1	1	1
46	1	1	1	1
47	1	1	1	1
48	1	1	1	1
49	1	1	1	1
50	1	1	1	1
51	1	1	1	1
52	1	1	1	1
53	1	1	1	1
54	1	1	1	1
55	1	1	1	1
56	1	1	1	1
57	1	1	1	1
58	1	1	1	1
59	1	1	1	1
60	1	1	1	1
61	1	1	1	1
62	1	1	1	1
63	1	1	1	1
64	1	1	1	1
65	1	1	1	1
66	1	1	1	1
67	1	1	1	1
68	1	1	1	1
69	1	1	1	1
70	1	1	1	1
71	1	1	1	1
72	1	1	1	1
73	1	1	1	1
74	1	1	1	1
75	1	1	1	1
76	1	1	1	1
77	1	1	1	1
78	1	1	1	1
79	1	1	1	1
80	1	1	1	1
81	1	1	1	1
82	1	1	1	1
83	1	1	1	1
84	1	1	1	1
85	1	1	1	1
86	1	1	1	1
87	1	1	1	1
88	1	1	1	1
89	1	1	1	1
90	1	1	1	1
91	1	1	1	1
92	1	1	1	1
93	1	1	1	1
94	1	1	1	1
95	1	1	1	1
96	1	1	1	1
97	1	1	1	1
98	1	1	1	1
99	1	1	1	1
100	1	1	1	1
101	1	1	1	1
102	1	1	1	1
103	1	1	1	1
104	1	1	1	1
105	1	1	1	1
106	1	1	1	1
107	1	1	1	1
108	1	1	1	1
109	1	1	1	1
110	1	1	1	1
111	1	1	1	1
112	1	1	1	1
113	1	1	1	1
114	1	1	1	1
115	1	1	1	1
116	1	1	1	1
117	1	1	1	1
118	1	1	1	1
119	1	1	1	1
120	1	1	1	1
121	1	1	1	1
122	1	1	1	1
123	1	1	1	1
124	1	1	1	1
125	1	1	1	1
126	1	1	1	1
127	1	1	1	1
128	1	1	1	1
129	1	1	1	1
130	1	1	1	1
131	1	1	1	1
132	1	1	1	1
133	1	1	1	1
134	1	1	1	1
135	1	1	1	1
136	1	1	1	1
137	1	1	1	1
138	1	1	1	1
139	1	1	1	1
140	1	1	1	1
141	1	1	1	1
142	1	1	1	1
143	1	1	1	1
144	1	1	1	1
145	1	1	1	1
146	1	1	1	1
147	1	1	1	1
148	1	1	1	1
149	1	1	1	1
150	1	1	1	1
151	1	1	1	1
152	1	1	1	1
153	1	1	1	1
154	1	1	1	1
155	1	1	1	1
156	1	1	1	1
157	1	1	1	1
158	1	1	1	1
159	1	1	1	1
160	1	1	1	1
161	1	1	1	1
162	1	1	1	1
163	1	1	1	1
164	1	1	1	1
165	1	1	1	1
166	1	1	1	1
167	1	1	1	1
168	1	1	1	1
169	1	1	1	1
170	1	1	1	1
171	1	1	1	1
172	1	1	1	1
173	1	1	1	1
174	1	1	1	1
175	1	1	1	1
176	1	1	1	1
177	1	1	1	1
178	1	1	1	1
179	1	1	1	1
180	1	1	1	1
181	1	1	1	1
182	1	1	1	1
183	1	1	1	1
184	1	1	1	1
185	1	1	1	1
186	1	1	1	1
187	1	1	1	1
188	1	1	1	1
189	1	1	1	1
190	1	1	1	1
191	1	1	1	1
192	1	1	1	1
193	1	1	1	1
194	1	1	1	1
195	1	1	1	1
196	1	1	1	1
197	1	1	1	1
198	1	1	1	1
199	1	1	1	1
200	1	1	1	1
201	1	1	1	1
202	1	1	1	1
203	1	1	1	1
204	1	1	1	1
205	1	1	1	1
206	1	1	1	1
207	1	1	1	1
208	1	1	1	1
209	1	1	1	1
210	1	1	1	1
211	1	1	1	1
212	1	1	1	1
213	1	1	1	1
214	1	1	1	1
215	1	1	1	1
216	1	1	1	1
217	1	1	1	1
218	1	1	1	1
219	1	1	1	1
220	1	1	1	1
221	1	1	1	1
222	1	1	1	1
223	1	1	1	1
224	1	1	1	1
225	1	1	1	1
226	1	1	1	1
227	1	1	1	1
228	1	1	1	1
229	1	1	1	1
230	1	1	1	1
231	1	1	1	1
232	1	1	1	1
233	1	1	1	1
234	1	1	1	1
235	1	1	1	1
236	1	1	1	1
237	1	1	1	1
238	1	1	1	1
239	1	1	1	1
240	1	1	1	1
241	1	1	1	1
242	1	1	1	1
243	1	1	1	1
244	1	1	1	1
245	1	1	1	1
246	1	1	1	1
247	1	1	1	1
248	1	1	1	1
249	1	1	1	1
250	1	1	1	1
251	1	1	1	1
252	1	1	1	1
253	1	1	1	1
254	1	1	1	1
255	1	1	1	1
256	1	1	1	1
257	1	1	1	1
258	1	1	1	1
259	1	1	1	1
260	1	1	1	1
261	1	1	1	1
262	1	1	1	1
263	1	1	1	1
264	1	1	1	1
265	1	1	1	1
266	1	1	1	1
267	1	1	1	1
268	1	1	1	1
269	1	1	1	1
270	1	1	1	1
271	1	1	1	1
272	1	1	1	1
273	1	1	1	1
274	1	1	1	1
275	1	1	1	1
276	1	1	1	1
277	1	1	1	1
278	1	1	1	1
279	1	1	1	1
280	1	1	1	1
281	1	1	1	1
282	1	1	1	1
283	1	1	1	1
284	1	1	1	1
285	1	1	1	1
286	1	1	1	1
287	1	1	1	1
288	1	1	1	1
289	1	1	1	1
290	1	1	1	1
291	1	1	1	1
292	1	1	1	1
293	1	1	1	1
294	1	1	1	1
295	1.000194649	1.000194649	1.000194649	1.000194649
296	1.000583947	1.000583947	1.000583947	1.000583947
297	1.001167894	1.001167894	1.001167894	1.001167894
298	1.00194649	1.00194649	1.00194649	1.00194649
299	1.002919735	1.002919735	1.002919735	1.002919735
300	1.004293106	1.004293106	1.004293106	1.004293106
301	1.005677305	1.005677305	1.005677305	1.005677305
302	1.007072333	1.007072333	1.007072333	1.007072333
303	1.00847819	1.00847819	1.00847819	1.00847819
304	1.009894874	1.009894874	1.009894874	1.009894874
305	1.01152608	1.01152608	1.01152608	1.01152608
306	1.012960852	1.012960852	1.012960852	1.012960852
307	1.01439384	1.01439384	1.01439384	1.01439384
308	1.015825043	1.015825043	1.015825043	1.015825043
309	1.017254462	1.017254462	1.017254462	1.017254462
310	1.018884347	1.018884347	1.018884347	1.018884347
311	1.020307314	1.020307314	1.020307314	1.020307314
312	1.021728839	1.021728839	1.021728839	1.021728839
313	1.023148922	1.023148922	1.023148922	1.023148922
314	1.024567564	1.024567564	1.024567564	1.024567564
315	1.026185895	1.026185895	1.026185895	1.026185895
316	1.027599412	1.027599412	1.027599412	1.027599412
317	1.029011808	1.029011808	1.029011808	1.029011808
318	1.030423082	1.030423082	1.030423082	1.030423082
319	1.031833236	1.031833236	1.031833236	1.031833236
320	1.033442578	1.033442578	1.033442578	1.033442578
321	1.034848847	1.034848847	1.034848847	1.034848847
322	1.036254294	1.036254294	1.036254294	1.036254294
323	1.03765892	1.03765892	1.03765892	1.03765892
324	1.039062724	1.039062724	1.039062724	1.039062724
325	1.040665474	1.040665474	1.040665474	1.040665474
326	1.04206655	1.04206655	1.04206655	1.04206655
327	1.043467085	1.043467085	1.043467085	1.043467085
328	1.044867078	1.044867078	1.044867078	1.044867078
329	1.046266529	1.046266529	1.046266529	1.046266529
330	1.047864922	1.047864922	1.047864922	1.047864922
331	1.049262726	1.049262726	1.049262726	1.049262726
332	1.050660249	1.050660249	1.050660249	1.050660249
333	1.05205749	1.05205749	1.05205749	1.05205749
334	1.053454449	1.053454449	1.053454449	1.053454449
335	1.055050574	1.055050574	1.055050574	1.055050574
336	1.056446894	1.056446894	1.056446894	1.056446894
337	1.057843176	1.057843176	1.057843176	1.057843176
338	1.05923942	1.05923942	1.05923942	1.05923942
339	1.060635625	1.060635625	1.060635625	1.060635625
340	1.062231426	1.062231426	1.062231426	1.062231426
341	1.063627931	1.063627931	1.063627931	1.063627931
342	1.065024623	1.065024623	1.065024623	1.065024623
343	1.066421504	1.066421504	1.066421504	1.066421504
344	1.067818573	1.067818573	1.067818573	1.067818573
345	1.069415863	1.069415863	1.069415863	1.069415863
346	1.070814105	1.070814105	1.070814105	1.070814105
347	1.072212746	1.072212746	1.072212746	1.072212746
348	1.073611786	1.073611786	1.073611786	1.073611786
349	1.075011224	1.075011224	1.075011224	1.075011224
350	1.07661169	1.07661169	1.07661169	1.07661169
351	1.078013116	1.078013116	1.078013116	1.078013116
352	1.079415136	1.079415136	1.079415136	1.079415136
353	1.080817751	1.080817751	1.080817751	1.080817751
354	1.082220961	1.082220961	1.082220961	1.082220961
355	1.083826171	1.083826171	1.083826171	1.083826171
356	1.085232124	1.085232124	1.085232124	1.085232124
357	1.086638855	1.086638855	1.086638855	1.086638855
358	1.088046362	1.088046362	1.088046362	1.088046362
359	1.089454646	1.089454646	1.089454646	1.089454646
360	1.091066058	1.091066058	1.091066058	1.091066058
361	1.092477788	1.092477788	1.092477788	1.092477788
362	1.093890463	1.093890463	1.093890463	1.093890463
363	1.095304085	1.095304085	1.095304085	1.095304085
364	1.096718653	1.096718653	1.096718653	1.096718653
365	1.098337621	1.098337621	1.098337621	1.098337621
366	1.099756287	1.099756287	1.099756287	1.099756287
367	1.101176055	1.101176055	1.101176055	1.101176055
368	1.102596927	1.102596927	1.102596927	1.102596927
369	1.104018901	1.104018901	1.104018901	1.104018901
370	1.105646681	1.105646681	1.105646681	1.105646681
371	1.107073357	1.107073357	1.107073357	1.107073357
372	1.108501282	1.108501282	1.108501282	1.108501282
373	1.109930455	1.109930455	1.109930455	1.109930455
374	1.111360877	1.111360877	1.111360877	1.111360877
375	1.112998632	1.112998632	1.112998632	1.112998632
376	1.114434315	1.114434315	1.114434315	1.114434315
377	1.115871382	1.115871382	1.115871382	1.115871382
378	1.117309831	1.117309831	1.117309831	1.117309831
379	1.118749663	1.118749663	1.118749663	1.118749663
380	1.120398471	1.120398471	1.120398471	1.120398471
381	1.121844083	1.121844083	1.121844083	1.121844083
382	1.123291202	1.123291202	1.123291202	1.123291202
383	1.124739829	1.124739829	1.124739829	1.124739829
384	1.126189963	1.126189963	1.126189963	1.126189963
385	1.127850819	1.127850819	1.127850819	1.127850819
386	1.129307212	1.129307212	1.129307212	1.129307212
387	1.130765228	1.130765228	1.130765228	1.130765228
388	1.132224865	1.132224865	1.132224865	1.132224865
389	1.133686125	1.133686125	1.133686125	1.133686125
390	1.13535995	1.13535995	1.13535995	1.13535995
391	1.13682791	1.13682791	1.13682791	1.13682791
392	1.138297599	1.138297599	1.138297599	1.138297599
393	1.139769015	1.139769015	1.139769015	1.139769015
394	1.14124216	1.14124216	1.14124216	1.14124216
395	1.142929802	1.142929802	1.142929802	1.142929802
396	1.144410056	1.144410056	1.144410056	1.144410056
397	1.145892135	1.145892135	1.145892135	1.145892135
398	1.147376039	1.147376039	1.147376039	1.147376039
399	1.14886177	1.14886177	1.14886177	1.14886177
400	1.150564011	1.150564011	1.150564011	1.150564011
401	1.152057225	1.152057225	1.152057225	1.152057225
402	1.153552354	1.153552354	1.153552354	1.153552354
403	1.155049399	1.155049399	1.155049399	1.155049399
404	1.15654836	1.15654836	1.15654836	1.15654836
405	1.158265919	1.158265919	1.158265919	1.158265919
406	1.159772707	1.159772707	1.159772707	1.159772707
407	1.161281494	1.161281494	1.161281494	1.161281494
408	1.162792278	1.162792278	1.162792278	1.162792278
409	1.164305061	1.164305061	1.164305061	1.164305061
410	1.166038598	1.166038598	1.166038598	1.166038598
411	1.167559525	1.167559525	1.167559525	1.167559525
412	1.169082525	1.169082525	1.169082525	1.169082525
413	1.170607599	1.170607599	1.170607599	1.170607599
414	1.172134746	1.172134746	1.172134746	1.172134746
415	1.173884867	1.173884867	1.173884867	1.173884867
416	1.175420448	1.175420448	1.175420448	1.175420448
417	1.176958172	1.176958172	1.176958172	1.176958172
418	1.178498039	1.178498039	1.178498039	1.178498039
419	1.180040049	1.180040049	1.180040049	1.180040049
420	1.181807308	1.181807308	1.181807308	1.181807308
421	1.183358016	1.183358016	1.183358016	1.183358016
422	1.18491093	1.18491093	1.18491093	1.18491093
423	1.18646605	1.18646605	1.18646605	1.18646605
424	1.188023376	1.188023376	1.188023376	1.188023376
425	1.189808278	1.189808278	1.189808278	1.189808278
426	1.191374544	1.191374544	1.191374544	1.191374544
427	1.192943074	1.192943074	1.192943074	1.192943074
428	1.194513867	1.194513867	1.194513867	1.194513867
429	1.196086924	1.196086924	1.196086924	1.196086924
430	1.19788993	1.19788993	1.19788993	1.19788993
431	1.199472147	1.199472147	1.199472147	1.199472147
432	1.201056679	1.201056679	1.201056679	1.201056679
433	1.202643528	1.202643528	1.202643528	1.202643528
434	1.204232693	1.204232693	1.204232693	1.204232693
435	1.206054222	1.206054222	1.206054222	1.206054222
436	1.207652746	1.207652746	1.207652746	1.207652746
437	1.209253633	1.209253633	1.209253633	1.209253633
438	1.210856883	1.210856883	1.210856883	1.210856883
439	1.212462497	1.212462497	1.212462497	1.212462497
440	1.21430293	1.21430293	1.21430293	1.21430293
441	1.215918084	1.215918084	1.215918084	1.215918084
442	1.217535644	1.217535644	1.217535644	1.217535644
443	1.21915561	1.21915561	1.21915561	1.21915561
444	1.220777983	1.220777983	1.220777983	1.220777983
445	1.222637663	1.222637663	1.222637663	1.222637663
446	1.224269738	1.224269738	1.224269738	1.224269738
447	1.225904259	1.225904259	1.225904259	1.225904259
448	1.227541225	1.227541225	1.227541225	1.227541225
449	1.229180635	1.229180635	1.229180635	1.229180635
450	1.231059871	1.231059871	1.231059871	1.231059871
451	1.232709131	1.232709131	1.232709131	1.232709131
452	1.234360871	1.234360871	1.234360871	1.234360871
453	1.23601509	1.23601509	1.23601509	1.23601509
454	1.23767179	1.23767179	1.23767179	1.23767179
455	1.239570859	1.239570859	1.239570859	1.239570859
456	1.241237539	1.241237539	1.241237539	1.241237539
457	1.24290673	1.24290673	1.24290673	1.24290673
458	1.244578432	1.244578432	1.244578432	1.244578432
459	1.246252644	1.246252644	1.246252644	1.246252644
460	1.248171796	1.248171796	1.248171796	1.248171796
461	1.249856106	1.249856106	1.249856106	1.249856106
462	1.251542955	1.251542955	1.251542955	1.251542955
463	1.253232342	1.253232342	1.253232342	1.253232342
464	1.254924267	1.254924267	1.254924267	1.254924267
465	1.256863722	1.256863722	1.256863722	1.256863722
466	1.25856585	1.25856585	1.25856585	1.25856585
467	1.26027054	1.26027054	1.26027054	1.26027054
468	1.261977793	1.261977793	1.261977793	1.261977793
469	1.263687609	1.263687609	1.263687609	1.263687609
470	1.265647563	1.265647563	1.265647563	1.265647563
471	1.267367673	1.267367673	1.267367673	1.267367673
472	1.269090367	1.269090367	1.269090367	1.269090367
473	1.270815645	1.270815645	1.270815645	1.270815645
474	1.272543508	1.272543508	1.272543508	1.272543508
475	1.274524133	1.274524133	1.274524133	1.274524133
476	1.27626237	1.27626237	1.27626237	1.27626237
477	1.27800321	1.27800321	1.27800321	1.27800321
478	1.279746653	1.279746653	1.279746653	1.279746653
479	1.281492699	1.281492699	1.281492699	1.281492699
480	1.283494146	1.283494146	1.283494146	1.283494146
481	1.285250636	1.285250636	1.285250636	1.285250636
482	1.287009746	1.287009746	1.287009746	1.287009746
483	1.288771475	1.288771475	1.288771475	1.288771475
484	1.290535823	1.290535823	1.290535823	1.290535823
485	1.292558221	1.292558221	1.292558221	1.292558221
486	1.294333074	1.294333074	1.294333074	1.294333074
487	1.29611056	1.29611056	1.29611056	1.29611056
488	1.297890679	1.297890679	1.297890679	1.297890679
489	1.299673431	1.299673431	1.299673431	1.299673431
490	1.301716893	1.301716893	1.301716893	1.301716893
491	1.303510201	1.303510201	1.303510201	1.303510201
492	1.305306155	1.305306155	1.305306155	1.305306155
493	1.307104753	1.307104753	1.307104753	1.307104753
494	1.308905996	1.308905996	1.308905996	1.308905996
495	1.310970615	1.310970615	1.310970615	1.310970615
496	1.312782457	1.312782457	1.312782457	1.312782457
497	1.314596954	1.314596954	1.314596954	1.314596954
498	1.316414105	1.316414105	1.316414105	1.316414105
499	1.318233912	1.318233912	1.318233912	1.318233912
500	1.320056373	1.320056373	1.320056373	1.320056373
501	1.321360027	1.321360027	1.321360027	1.321360027
502	1.32240295	1.32240295	1.32240295	1.32240295
503	1.323185142	1.323185142	1.323185142	1.323185142
504	1.323706604	1.323706604	1.323706604	1.323706604
505	1.323967335	1.323967335	1.323967335	1.323967335
506	1.323967335	1.323967335	1.323967335	1.323967335
507	1.323967335	1.323967335	1.323967335	1.323967335
508	1.323967335	1.323967335	1.323967335	1.323967335
509	1.323967335	1.323967335	1.323967335	1.323967335
510	1.323967335	1.323967335	1.323967335	1.323967335
511	1.323967335	1.323967335	1.323967335	1.323967335
512	1.323967335	1.323967335	1.323967335	1.323967335
513	1.323967335	1.323967335	1.323967335	1.323967335
514	1.323967335	1.323967335	1.323967335	1.323967335
515	1.323967335	1.323967335	1.323967335	1.323967335
516	1.323967335	1.323967335	1.323967335	1.323967335
517	1.323967335	1.323967335	1.323967335	1.323967335
