Level	Total	PerKill	Junk	Stats	Divisor
1	400	50	0	0	1
2	900	55	0	0	1
3	1400	60	0	0	1
4	2100	65	0	0	1
5	2800	70	0	0	1
6	3800	75	0	0	1
7	5000	80	0	0	1
8	6400	85	0	0	1
9	8100	90	0	0	1
10	9240	95	0	0	1
11	10780	100	0	0	1
12	13230	105	0	0	1
13	16800	110	0	0	1
14	20380	115	0	0	1
15	24440	120	0	0	1
16	28080	125	0	0	1
17	31500	130	0	0	1
18	34800	135	0	0	1
19	38550	140	0	0	1
20	41260	145	0	0	1
21	44230	150	0	0	1
22	45730	155	0	0	1
23	46800	160	0	0	1
24	49540	165	0	0	1
25	51830	170	0	0	1
26	53480	175	0	0	1
27	55340	180	0	0	1
28	56850	185	0	0	1
29	60030	190	0	0	1
30	62830	195	0	0	1
31	66170	200	0	0	1
32	68480	205	0	0	1
33	71060	210	0	0	1
34	73280	215	0	0	1
35	75640	220	0	0	1
36	78120	225	0	0	1
37	80000	230	0	0	1
38	82130	235	0	0	1
39	84020	240	0	0	1
40	86300	245	0	0	1
41	88840	250	0	0	1
42	91900	255	0	0	1
43	95110	260	0	0	1
44	98210	265	0	0	1
45	101460	270	0	0	1
46	104740	275	0	0	1
47	107890	280	0	0	1
48	111190	285	0	0	1
49	114520	290	0	0	1
50	117700	295	0	0	1
51	121040	300	0	0	1
52	124400	305	0	0	1
53	127600	310	0	0	1
54	130960	315	0	0	1
55	134330	320	0	0	1
56	137540	325	0	0	1
57	140900	330	0	0	1
58	144270	335	0	0	1
59	147470	340	0	0	1
60	152580	345	0	0	1
61	157120	350	0	0	1
62	161890	355	0	0	1
63	166730	360	0	0	1
64	171470	365	0	0	1
65	176450	370	0	0	1
66	184520	375	0	0	1
67	192840	380	0	0	1
68	201220	385	0	0	1
69	210030	390	0	0	1
70	219090	395	0	0	1
71	228200	400	0	0	1
72	237770	405	0	0	1
73	247600	410	0	0	1
74	257470	415	0	0	1
75	267840	420	0	0	1
76	278480	425	0	0	1
77	289150	430	0	0	1
78	300340	435	0	0	1
79	311810	440	0	0	1
80	323580	445	0	0	1
81	330950	450	0	0	1
82	338670	455	0	0	1
83	346490	460	0	0	1
84	354110	465	0	0	1
85	362100	470	0	0	1
86	370180	475	0	0	1
87	378050	480	0	0	1
88	386310	485	0	0	1
89	394650	490	0	0	1
90	406940	495	0	0	1
91	415510	500	0	0	1
92	424160	505	0	0	1
93	432590	510	0	0	1
94	441410	515	0	0	1
95	450330	520	0	0	1
96	459330	525	0	0	1
97	468420	530	0	0	1
98	477610	535	0	0	1
99	486550	540	0	0	1
100	492540	545	0	0	1
101	497060	550	0	0	1
102	501580	555	0	0	1
103	506100	560	0	0	1
104	510620	565	0	0	1
105	515140	570	0	0	1
106	519660	575	0	0	1
107	524180	580	0	0	1
108	528690	585	0	0	1
109	533210	590	0	0	1
110	537730	595	0	0	1
111	831000	600	0	0	9
112	837930	605	0	0	9
113	844850	610	0	0	9
114	851780	615	0	0	9
115	858700	620	0	0	9
116	865630	625	0	0	9
117	872550	630	0	0	9
118	879480	635	0	0	9
119	886400	640	0	0	9
120	893550	645	0	0	9
121	893550	645	0	0	9
122	893550	645	0	0	9
123	893550	645	0	0	9
